"filename", "language", "C++", "Batch", "C", "comment", "blank", "total"
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1000.c", "C", 0, 0, 6, 0, 0, 6
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1001.c", "C", 0, 0, 6, 0, 0, 6
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1002.c", "C", 0, 0, 6, 0, 0, 6
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1003.c", "C", 0, 0, 10, 0, 0, 10
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1004.c", "C", 0, 0, 6, 0, 0, 6
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1005.c", "C", 0, 0, 6, 0, 0, 6
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1006.c", "C", 0, 0, 6, 0, 0, 6
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1007.c", "C", 0, 0, 7, 0, 0, 7
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1008.c", "C", 0, 0, 8, 0, 0, 8
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1009.c", "C", 0, 0, 10, 0, 0, 10
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1010.c", "C", 0, 0, 10, 0, 0, 10
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1011.c", "C", 0, 0, 13, 0, 0, 13
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1012.c", "C", 0, 0, 11, 0, 0, 11
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1013.c", "C", 0, 0, 10, 0, 0, 10
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1014.c", "C", 0, 0, 5, 0, 0, 5
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1015.c", "C", 0, 0, 5, 0, 0, 5
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1016.c", "C", 0, 0, 10, 0, 1, 11
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1017.c", "C", 0, 0, 10, 0, 1, 11
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1018.c", "C", 0, 0, 8, 0, 0, 8
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1019.c", "C", 0, 0, 11, 0, 1, 12
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1020.c", "C", 0, 0, 20, 0, 1, 21
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1021.c", "C", 0, 0, 9, 0, 1, 10
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1022.c", "C", 0, 0, 10, 0, 0, 10
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1023.c", "C", 0, 0, 11, 0, 2, 13
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1024.c", "C", 0, 0, 11, 0, 1, 12
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1025.c", "C", 0, 0, 13, 0, 2, 15
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1026.c", "C", 0, 0, 11, 0, 1, 12
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1027.c", "C", 0, 0, 11, 0, 2, 13
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1028.c", "C", 0, 0, 11, 0, 2, 13
