Date : 2021-07-27 16:30:22
Directory : e:\VS-Code\VS-Code-C-and-Cpp
Total : 768 files,  20535 codes, 2223 comments, 777 blanks, all 23535 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        373 |     11,442 |      2,172 |        704 |     14,318 |
| C        |        394 |      9,089 |         51 |         73 |      9,213 |
| Batch    |          1 |          4 |          0 |          0 |          4 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        768 |     20,535 |      2,223 |        777 |     23,535 |
| ACM                                                                                             |        280 |      6,453 |         51 |         58 |      6,562 |
| Algorithm Experiment                                                                            |          8 |        536 |          6 |         31 |        573 |
| Chomework                                                                                       |        119 |      2,771 |          0 |         16 |      2,787 |
| Chomework\experment                                                                             |        105 |      2,336 |          0 |         13 |      2,349 |
| Data Structure                                                                                  |         15 |      1,067 |          4 |         15 |      1,086 |
| Data Structure\Exprement                                                                        |          6 |        640 |          3 |         10 |        653 |
| Data Structure\PTA                                                                              |          9 |        427 |          1 |          5 |        433 |
| LeetCode-CN                                                                                     |        199 |      5,088 |      1,714 |        488 |      7,290 |
| LeetCode-EN                                                                                     |         26 |        677 |        204 |         71 |        952 |
| Mooc                                                                                            |          6 |        149 |          0 |          2 |        151 |
| PTA                                                                                             |         68 |      2,647 |         28 |         62 |      2,737 |
| luogu                                                                                           |         46 |      1,143 |        216 |         34 |      1,393 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                        | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1000.c                                                         | C        |          6 |          0 |          0 |          6 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1001.c                                                         | C        |          6 |          0 |          0 |          6 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1002.c                                                         | C        |          6 |          0 |          0 |          6 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1003.c                                                         | C        |         10 |          0 |          0 |         10 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1004.c                                                         | C        |          6 |          0 |          0 |          6 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1005.c                                                         | C        |          6 |          0 |          0 |          6 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1006.c                                                         | C        |          6 |          0 |          0 |          6 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1007.c                                                         | C        |          7 |          0 |          0 |          7 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1008.c                                                         | C        |          8 |          0 |          0 |          8 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1009.c                                                         | C        |         10 |          0 |          0 |         10 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1010.c                                                         | C        |         10 |          0 |          0 |         10 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1011.c                                                         | C        |         13 |          0 |          0 |         13 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1012.c                                                         | C        |         11 |          0 |          0 |         11 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1013.c                                                         | C        |         10 |          0 |          0 |         10 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1014.c                                                         | C        |          5 |          0 |          0 |          5 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1015.c                                                         | C        |          5 |          0 |          0 |          5 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1016.c                                                         | C        |         10 |          0 |          1 |         11 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1017.c                                                         | C        |         10 |          0 |          1 |         11 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1018.c                                                         | C        |          8 |          0 |          0 |          8 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1019.c                                                         | C        |         11 |          0 |          1 |         12 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1020.c                                                         | C        |         20 |          0 |          1 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1021.c                                                         | C        |          9 |          0 |          1 |         10 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1022.c                                                         | C        |         10 |          0 |          0 |         10 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1023.c                                                         | C        |         11 |          0 |          2 |         13 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1024.c                                                         | C        |         11 |          0 |          1 |         12 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1025.c                                                         | C        |         13 |          0 |          2 |         15 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1026.c                                                         | C        |         11 |          0 |          1 |         12 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1027.c                                                         | C        |         11 |          0 |          2 |         13 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1028.c                                                         | C        |         11 |          0 |          2 |         13 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1029.c                                                         | C        |         15 |          0 |          2 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1030.c                                                         | C        |         15 |          0 |          2 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1031.c                                                         | C        |         12 |          0 |          1 |         13 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1032.c                                                         | C        |         17 |          0 |          1 |         18 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1033.c                                                         | C        |         13 |          0 |          1 |         14 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1034.c                                                         | C        |         26 |          0 |          0 |         26 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1035.c                                                         | C        |         16 |          0 |          0 |         16 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1036.c                                                         | C        |         28 |          0 |          1 |         29 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1037.c                                                         | C        |         17 |          0 |          1 |         18 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1038.c                                                         | C        |         15 |          0 |          1 |         16 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1039.c                                                         | C        |         31 |          0 |          0 |         31 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1040.c                                                         | C        |         22 |          0 |          0 |         22 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1041.c                                                         | C        |         11 |          0 |          0 |         11 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1042.c                                                         | C        |         16 |          0 |          0 |         16 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1043.c                                                         | C        |         10 |          0 |          0 |         10 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1044.c                                                         | C        |         10 |          0 |          1 |         11 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1045.c                                                         | C        |         20 |          0 |          1 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1046.c                                                         | C        |         14 |          0 |          0 |         14 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1047.c                                                         | C        |         13 |          0 |          0 |         13 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1048.c                                                         | C        |         18 |          0 |          0 |         18 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1049.c                                                         | C        |         17 |          0 |          0 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1050.c                                                         | C        |         17 |          0 |          0 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1051.c                                                         | C        |         17 |          0 |          0 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1052.c                                                         | C        |         17 |          0 |          0 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1053.c                                                         | C        |         10 |          0 |          0 |         10 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1054.c                                                         | C        |         13 |          0 |          0 |         13 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1055.c                                                         | C        |         12 |          0 |          0 |         12 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1056.c                                                         | C        |         16 |          0 |          0 |         16 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1057.c                                                         | C        |         11 |          0 |          0 |         11 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1058.c                                                         | C        |         12 |          0 |          0 |         12 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1059.c                                                         | C        |         14 |          0 |          1 |         15 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1060.c                                                         | C        |         19 |          0 |          0 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1061.c                                                         | C        |         19 |          0 |          0 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1062.c                                                         | C        |         19 |          0 |          0 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1063.c                                                         | C        |         18 |          0 |          0 |         18 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1064.c                                                         | C        |         11 |          0 |          0 |         11 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1065.c                                                         | C        |         15 |          0 |          0 |         15 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1066.c                                                         | C        |         28 |          0 |          0 |         28 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1067.c                                                         | C        |         21 |          0 |          0 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1068.c                                                         | C        |         18 |          0 |          0 |         18 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1069.c                                                         | C        |         16 |          0 |          0 |         16 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1070.c                                                         | C        |         17 |          0 |          1 |         18 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1071.c                                                         | C        |         18 |          0 |          1 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1072.c                                                         | C        |         19 |          0 |          1 |         20 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1073.c                                                         | C        |         26 |          0 |          0 |         26 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1074.c                                                         | C        |         26 |          0 |          0 |         26 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1075.c                                                         | C        |         41 |          0 |          0 |         41 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1076.c                                                         | C        |         25 |          0 |          0 |         25 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1077.c                                                         | C        |         14 |          0 |          0 |         14 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1078.c                                                         | C        |         22 |          0 |          0 |         22 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1079.c                                                         | C        |         27 |          0 |          0 |         27 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1080.c                                                         | C        |         17 |          0 |          0 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1081.c                                                         | C        |         28 |          0 |          1 |         29 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1082.c                                                         | C        |         24 |          0 |          1 |         25 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1083.c                                                         | C        |         36 |          0 |          1 |         37 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1084.c                                                         | C        |         10 |          0 |          1 |         11 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1085.c                                                         | C        |         25 |          0 |          0 |         25 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1086.c                                                         | C        |         29 |          0 |          0 |         29 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1087.c                                                         | C        |         24 |          0 |          0 |         24 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1088.c                                                         | C        |         17 |          0 |          0 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1089.c                                                         | C        |         75 |          0 |          0 |         75 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1090.c                                                         | C        |         20 |          0 |          1 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1091.c                                                         | C        |         21 |          0 |          1 |         22 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1092.c                                                         | C        |         21 |          0 |          0 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1093.c                                                         | C        |         17 |          0 |          0 |         17 |
